*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=ornamentv3_2e_encoders
*Date=08:58:38
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
142;;;3.8608;-31.5343;0;Bottom;Copper Fill78
143;;;15.2908;-32.5884;0;Bottom;Copper Fill281
144;;;42.1132;-60.4522;0;Bottom;Copper Fill245
145;;;28.194;-64.186;0;Bottom;Copper Fill244
146;;;51.9288;-29.2093;23;Bottom;IMG2
147;;;28.2482;-26.2826;0;Bottom;Via145
148;;;62.3316;-37.516;0;Bottom;Copper Fill282
149;;;41.3893;-71.044;0;Bottom;Copper Fill104
150;;;14.8483;-39.2826;0;Bottom;Via39
151;;;59.4349;-83.8636;90;Bottom;TXT13
152;;;6.4389;-72.4918;0;Bottom;Copper Fill61
153;;;54.4483;-36.6825;0;Bottom;Via174
154;220;0805 [SMD];11.5584;-63.4775;90;Top;100R
155;;;59.2483;-30.0825;0;Bottom;Via131
156;220;0805 [SMD];27.9882;-63.4775;90;Top;100R
157;;;9.7917;-43.6882;0;Bottom;Copper Fill167
158;;;26.8732;-49.3524;0;Bottom;Copper Fill258
159;;;19.431;-32.4487;0;Bottom;Copper Fill48
160;220;0805 [SMD];20.8483;-21.1075;-90;Bottom;100k
161;;;21.6481;-68.9826;0;Bottom;Via105
162;;;58.8264;-30.1627;0;Bottom;Copper Fill127
163;;;44.3357;-66.1926;0;Bottom;Copper Fill87
164;;;24.6888;-45.7202;0;Bottom;Copper Fill264
165;;;25.0483;-66.6827;0;Bottom;Via161
166;;;6.74821;-60.2825;0;Bottom;Via76
167;;;46.4481;-38.7825;0;Bottom;Via156
168;;;5.50474;-18.9262;0;Bottom;Hole5
169;;;4.5212;-31.5343;0;Bottom;Copper Fill79
170;;;25.3492;-15.6847;0;Bottom;Copper Fill26
171;100nF;0805 [SMD, multilayer];24.1483;-65.6577;-90;Bottom;100n
172;;;34.5694;-13.0939;0;Bottom;Copper Fill27
173;;;56.2229;-81.9406;0;Bottom;Copper Fill57
174;;;34.5186;-50.7748;0;Bottom;Copper Fill259
175;;;5.4229;-9.3474;0;Bottom;Copper Fill33
176;220;0805 [SMD];37.7483;-64.2576;-90;Bottom;75k
177;;;49.9618;-84.0234;0;Bottom;Copper Fill2
178;;;32.2481;-60.5825;0;Bottom;Via43
179;;;48.6537;-90.4496;0;Bottom;Copper Fill178
180;;;31.6992;-45.1487;0;Bottom;Copper Fill147
181;;;27.2796;-81.6231;0;Bottom;Copper Fill157
182;;PG203J [THT];48.8257;-18.3408;0;Bottom;DAC_A
183;;;9.74824;-80.8826;0;Bottom;Via75
184;;;13.1572;-57.3407;0;Bottom;Copper Fill171
185;;SOT-23 [SMD];5.23832;-33.3227;0;Bottom;Q2
186;;;24.2917;-18.9262;0;Bottom;Hole7
187;;;28.9941;-38.8114;0;Bottom;Copper Fill142
188;;;58.0136;-70.8027;0;Bottom;Copper Fill112
189;;;17.7038;-24.1302;0;Bottom;Copper Fill296
190;;;42.8244;-82.0295;0;Bottom;Copper Fill120
191;;;5.3848;-66.1418;0;Bottom;Copper Fill237
192;;;23.4442;-13.0939;0;Bottom;Copper Fill23
193;;;33.7185;-16.7388;0;Bottom;Copper Fill28
194;;PG203J [THT];14.8156;-18.3408;0;Bottom;TR2
195;;;5.94811;-58.9826;0;Bottom;Via77
196;;;33.8046;-7.03902;0;Bottom;Hole12
197;;;25.3873;-53.6958;0;Bottom;Copper Fill194
198;;;4.2037;-31.8772;0;Bottom;Copper Fill76
199;220;0805 [SMD];35.3483;-64.1977;-90;Bottom;100k
200;220;0805 [SMD];18.1381;-64.1977;-90;Bottom;33k
201;;;43.1673;-81.712;0;Bottom;Copper Fill119
202;;;41.9862;-35.357;0;Bottom;Copper Fill283
203;;;28.6512;-39.1543;0;Bottom;Copper Fill143
204;;;1.7526;-27.5211;0;Bottom;Copper Fill82
205;;;16.9483;-39.2826;0;Bottom;Via40
206;220;0805 [SMD];29.0483;-43.1575;-90;Bottom;100n
207;;;6.4516;-10.4015;0;Bottom;Copper Fill35
208;220;0805 [SMD];32.8484;-64.1977;-90;Bottom;560p
209;;;22.2758;-39.0146;0;Bottom;Copper Fill277
210;;;13.7668;-10.4015;0;Bottom;Copper Fill37
211;;PG203J [THT];58.3157;-18.3408;0;Bottom;DAC_B
212;;;19.6342;-60.8586;0;Bottom;Copper Fill246
213;220;0805 [SMD];50.643;-54.2677;-135;Bottom;470n
214;;;9.84838;-50.027;0;Bottom;SW4
215;;;24.9809;-67.0816;0;Bottom;Copper Fill149
216;;;46.4481;-45.2827;0;Bottom;Via176
217;;;8.36817;-27.3726;0;Bottom;Via70
218;;;20.3482;-60.4925;0;Bottom;Via104
219;;;43.1673;-35.992;0;Bottom;Copper Fill137
220;;;17.2466;-98.0442;0;Bottom;Copper Fill199
221;;;37.3888;-70.6884;0;Bottom;Copper Fill234
